// taux.csv
date,value
1960,69.84%
1961,54.63%
1962,54.62%
1963,63.98%
1964,65.13%
1965,53.47%
1966,31.86%
1967,35.70%
1968,45.78%
1969,72.53%
1970,70.41%
1971,62.09%
1972,56.03%
1973,56.73%
1974,47.88%
1975,45.93%
1976,47.19%
1977,49.89%
1978,47.09%
1979,49.02%
1980,38.32%
1981,47.12%
1982,44.56%
1983,68.31%
1984,58.63%
1985,55.77%
1986,51.43%
1987,66.90%
1988,36.12%
1989,38.20%
1990,52.14%
1991,52.14%
1992,24.25%
1993,30.24%
1994,13.39%
1995,24.68%
1996,25.00%
1997,29.34%
1998,35.96%
1999,30.09%
2000,36.61%
2001,38.16%
2002,21.73%
2003,32.52%
2004,43.86%
2005,27.92%
2006,40.09%
2007,25.56%
2008,26.87%
2009,20.12%
2010,20.12%
2011,23.71%
2012,25.27%
2013,33.58%
2014,36.23%
2015,39.66%
2016,42.38%
2017,44.97%
2018,46.09%
2019,41.23%
